2025-12-19 16:27:24,Electron,phone_data_clean.csv — spoti
2025-12-19 16:27:29,Electron,phone_data_clean.csv — spoti
2025-12-19 16:27:34,Spotify,Spotify Premium
2025-12-19 16:27:39,Spotify,Spotify Premium
2025-12-19 16:27:45,Spotify,Erwin Do - Conversation
2025-12-19 16:27:50,Electron,phone_processor.py — spoti
2025-12-19 16:27:55,Electron,phone_data_clean.csv — spoti
2025-12-19 16:28:00,Electron,phone_data_clean.csv — spoti
2025-12-19 16:28:05,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:28:11,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:28:16,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:28:21,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:28:26,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:28:31,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:28:37,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:28:42,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:28:47,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:28:52,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:28:57,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:29:02,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:29:08,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:13,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:18,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:23,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:28,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:34,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:39,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:44,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:49,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:29:54,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:30:00,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:30:05,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:30:10,Terminal,pyqgis — Gemini - pyqgis — node ◂ node ~/.nvm/versions/node/v24.11.1/bin/gemini — 107×64
2025-12-19 16:30:15,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:30:20,Arc,Messenger | Facebook
2025-12-19 16:30:26,Arc,Messenger | Facebook
2025-12-19 16:30:31,Arc,Messenger | Facebook
2025-12-19 16:30:36,Arc,Messenger | Facebook
2025-12-19 16:30:41,Arc,Messenger | Facebook
2025-12-19 16:30:46,Arc,Messenger | Facebook
2025-12-19 16:30:51,Electron,react_deployment_plan.md — pyqgis
2025-12-19 16:30:57,Arc,Messenger | Facebook
